"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 17 14:42:14 MSK 2026","Tue Mar 17 14:42:14 MSK 2026","209","","org.example.tests.OrderTests","","org.example.tests.OrderTests","placeOrderWithoutAuth","placeOrderWithoutAuth",""
"passed","Tue Mar 17 14:42:14 MSK 2026","Tue Mar 17 14:42:14 MSK 2026","140","","org.example.tests.OrderTests","","org.example.tests.OrderTests","placeOrderWithInvalidIngredientHash","placeOrderWithInvalidIngredientHash",""
"passed","Tue Mar 17 14:42:15 MSK 2026","Tue Mar 17 14:42:16 MSK 2026","1229","","org.example.tests.UserCreationAndLoginTests","","org.example.tests.UserCreationAndLoginTests","loginExistingUserWithWrongPasswordTest","loginExistingUserWithWrongPasswordTest",""
"passed","Tue Mar 17 14:42:09 MSK 2026","Tue Mar 17 14:42:09 MSK 2026","229","","org.example.tests.OrderParametrizedTest","","org.example.tests.OrderParametrizedTest","placeOrderWithDifferentIngredientsTest[1 ингредиент (только булка)]","placeOrderWithDifferentIngredientsTest[1 ингредиент (только булка)]",""
"passed","Tue Mar 17 14:42:14 MSK 2026","Tue Mar 17 14:42:14 MSK 2026","188","","org.example.tests.ParameterizedCreateUserWithoutOneRequiredFieldTest","","org.example.tests.ParameterizedCreateUserWithoutOneRequiredFieldTest","createUserWithoutField[2]","createUserWithoutField[2]",""
"passed","Tue Mar 17 14:42:06 MSK 2026","Tue Mar 17 14:42:09 MSK 2026","2194","","org.example.tests.OrderParametrizedTest","","org.example.tests.OrderParametrizedTest","placeOrderWithDifferentIngredientsTest[0 ингредиентов (ошибка)]","placeOrderWithDifferentIngredientsTest[0 ингредиентов (ошибка)]",""
"passed","Tue Mar 17 14:42:09 MSK 2026","Tue Mar 17 14:42:13 MSK 2026","4224","","org.example.tests.OrderTests","","org.example.tests.OrderTests","placeOrderWithAuth","placeOrderWithAuth",""
"passed","Tue Mar 17 14:42:09 MSK 2026","Tue Mar 17 14:42:09 MSK 2026","214","","org.example.tests.OrderParametrizedTest","","org.example.tests.OrderParametrizedTest","placeOrderWithDifferentIngredientsTest[2 ингредиента (булка + соус)]","placeOrderWithDifferentIngredientsTest[2 ингредиента (булка + соус)]",""
"passed","Tue Mar 17 14:42:14 MSK 2026","Tue Mar 17 14:42:14 MSK 2026","191","","org.example.tests.ParameterizedCreateUserWithoutOneRequiredFieldTest","","org.example.tests.ParameterizedCreateUserWithoutOneRequiredFieldTest","createUserWithoutField[0]","createUserWithoutField[0]",""
"passed","Tue Mar 17 14:42:15 MSK 2026","Tue Mar 17 14:42:15 MSK 2026","171","","org.example.tests.UserCreationAndLoginTests","","org.example.tests.UserCreationAndLoginTests","loginNonExistingUserTest","loginNonExistingUserTest",""
"passed","Tue Mar 17 14:42:16 MSK 2026","Tue Mar 17 14:42:18 MSK 2026","1357","","org.example.tests.UserCreationAndLoginTests","","org.example.tests.UserCreationAndLoginTests","logInExistingUserTest","logInExistingUserTest",""
"passed","Tue Mar 17 14:42:09 MSK 2026","Tue Mar 17 14:42:09 MSK 2026","230","","org.example.tests.OrderParametrizedTest","","org.example.tests.OrderParametrizedTest","placeOrderWithDifferentIngredientsTest[3 ингредиента (полный набор)]","placeOrderWithDifferentIngredientsTest[3 ингредиента (полный набор)]",""
"passed","Tue Mar 17 14:42:14 MSK 2026","Tue Mar 17 14:42:14 MSK 2026","164","","org.example.tests.ParameterizedCreateUserWithoutOneRequiredFieldTest","","org.example.tests.ParameterizedCreateUserWithoutOneRequiredFieldTest","createUserWithoutField[1]","createUserWithoutField[1]",""
"passed","Tue Mar 17 14:42:18 MSK 2026","Tue Mar 17 14:42:19 MSK 2026","1099","","org.example.tests.UserCreationAndLoginTests","","org.example.tests.UserCreationAndLoginTests","createUniqueUserTest","createUniqueUserTest",""
"passed","Tue Mar 17 14:42:14 MSK 2026","Tue Mar 17 14:42:15 MSK 2026","653","","org.example.tests.UserCreationAndLoginTests","","org.example.tests.UserCreationAndLoginTests","createExistingUserTest","createExistingUserTest",""
